point_id, x, y, z
0,0.587,-1.191,-0.3781
1,-0.3921,-0.2788,-0.509
3,1.122,-0.7015,-0.1373
4,-0.009907,-0.5108,-0.493
5,1.08,-0.8142,0.04492
6,-0.5499,0.1744,0.183
7,0.4478,1.266,0.1591
8,0.5428,-0.04952,-0.3678
9,0.1724,0.5866,-0.136
10,-0.9513,1.285,0.2319
11,0.5523,0.4109,-0.2076
12,0.3477,-0.7644,-0.5084
13,0.7528,-0.02555,-0.3639
14,-0.1154,0.502,0.3744
15,-0.9544,1.24,0.1415
16,1.03,-0.8112,0.005384
17,-1.26,-0.7797,-0.7049
18,0.4196,0.692,0.3212
19,-0.2974,0.2456,-0.2781
20,0.9417,0.1426,-0.2381
21,1.12,-0.6814,0.0146
22,0.6221,-0.3772,-0.4969
23,0.5276,-0.03424,-0.3636
24,-0.7206,1.225,0.106
25,-1.026,-0.763,-0.5967
27,-0.4438,-0.9158,-0.3546
28,-0.1963,1.262,0.4211
29,1.041,0.536,-0.07776
30,0.2893,0.6138,-0.1277
31,-1.3,0.5501,-0.1409
32,0.5908,-0.1012,-0.3873
33,0.8973,-0.4772,-0.5201
34,1.018,-0.887,-0.00287
35,-1.321,1.106,0.1496
36,1.151,-0.4516,0.02581
37,-0.1436,-0.5689,-0.4976
38,-0.4276,0.3716,0.3514
39,0.3235,0.5785,0.2917
40,-1.257,-0.2479,-0.5383
41,0.3777,0.6875,0.3615
42,0.5002,0.5075,-0.169
43,-0.3748,-0.3662,-0.5353
44,-1.365,0.1504,-0.3093
45,0.9874,-0.3419,-0.4507
46,-0.6269,-0.1347,-0.4823
47,-0.9474,0.148,-0.4053
48,0.007719,0.3066,-0.2501
50,1.3,-0.2131,-0.1008
51,0.5211,0.002037,-0.3542
52,-0.6755,0.05728,0.1283
53,0.3613,-0.5904,-0.5478
54,0.6208,0.7029,0.4145
55,0.1727,1.269,0.2067
56,-1.103,-0.7792,-0.6857
57,-0.2078,-1.097,-0.6132
58,-1.321,1.099,0.1933
59,-1.369,-0.03676,-0.411
61,0.3966,0.6445,0.2978
62,0.7017,0.2295,-0.2728
63,-1.439,-0.2442,0.07449
64,1.249,0.1141,-0.09096
65,-0.02663,0.921,0.03635
66,0.8643,0.5126,-0.1095
67,-0.7523,-0.06689,0.03834
68,0.1419,-0.5026,-0.4945
69,0.6198,-1.242,-0.3652
70,-0.7655,0.01559,0.1283
71,0.0168,0.5722,-0.136
72,0.4693,0.8083,0.4269
73,-0.1385,0.07482,-0.3317
74,1.25,0.6252,-0.1798
75,-0.6857,0.0772,0.1406
76,-0.8942,1.064,0.6684
77,-0.7949,0.01655,0.1452
78,-0.2155,-0.6769,-0.5863
79,0.6502,-0.4796,-0.5587
80,0.4208,-0.3359,-0.4558
81,-0.1706,-0.03268,-0.3624
82,1.028,-0.5736,-0.2832
83,0.08227,1.246,0.1332
84,-1.49,1.14,1.01
85,-0.2524,0.462,0.4103
86,-0.2471,0.858,0.006916
87,-1.091,1.219,0.1431
88,-0.3181,0.3577,-0.253
89,-0.7026,0.1893,0.2687
90,0.3844,0.5217,0.29
92,0.6242,-0.3684,-0.4977
93,-1.175,-0.02075,-0.4721
94,-0.5075,0.8481,0.3576
95,1.011,-0.6809,-0.03063
96,-1.364,-0.2838,-0.5368
97,0.4323,0.4641,-0.1907
98,-1.263,-0.2235,0.1201
99,-1.229,-0.6313,-0.74
109,1.343,-1.224,0.6439
110,0.1352,0.3792,1.027
113,1.242,0.4641,-0.0009575
114,1.388,-0.1843,0.1694
115,0.2243,0.5915,0.791
120,1.226,-0.8541,0.1565
121,1.572,0.5803,0.1932
124,1.205,-0.6049,0.09675
126,0.04341,1.002,0.7286
128,1.388,-0.3392,0.08795
130,0.12,-0.3724,1.075
132,1.508,-0.4765,0.2269
133,0.1455,0.1882,0.9656
135,1.317,-0.5985,0.4867
136,1.409,-0.8754,0.2922
138,1.271,-0.1937,0.2947
139,1.346,-0.9907,0.5833
140,0.722,0.8521,0.4508
146,0.08778,0.9097,0.7775
148,-0.05787,1.123,0.9103
152,1.393,-1.086,0.6699
154,0.02192,1.042,0.8529
157,1.372,-0.4157,0.3417
162,1.283,-0.4023,0.07119
168,1.296,-0.2794,0.3577
179,1.379,-0.02536,0.0445
182,1.547,0.5238,0.09146
183,1.185,-0.7091,0.1162
189,0.003144,1.047,0.818
191,1.348,-1.311,0.6496
192,0.7037,-0.2678,0.7725
194,0.8088,-0.3137,0.7035
195,1.195,0.3909,-0.06192
198,0.6835,0.6435,0.5273
199,1.356,-0.7506,0.5011
200,-0.5883,0.2238,0.582
202,-0.5764,0.02284,0.9325
205,-0.683,0.02364,0.9332
211,0.06383,0.5689,0.5948
212,-0.0207,0.5163,0.5233
213,-0.5222,-0.1144,1.174
215,-0.3677,0.2721,0.6542
217,-0.276,0.3748,0.5688
218,-0.4579,0.2868,0.54
220,-0.7071,0.1889,0.5503
226,-0.5289,-0.1293,1.128
227,0.06485,0.5513,0.6349
228,0.1117,0.6492,0.4488
230,-0.1956,0.3897,0.6221
233,-0.5109,0.04484,0.8695
234,-0.6429,0.0427,0.7632
235,-0.7198,0.3186,0.4475
236,-0.5742,0.2945,0.4906
238,-0.03464,0.5059,0.5523
251,-0.4473,0.07531,0.9272
258,-0.4753,0.05255,1.06
264,-0.5264,0.2872,0.5117
271,-0.2612,0.308,0.8252
273,-0.212,0.3474,0.6117
288,-0.5992,0.1402,0.6483
295,-0.1913,0.3928,0.6638
