T_00, T_01, T_02, T_03,T_10, T_11, T_12, T_13,T_20, T_21, T_22, T_23,T_30, T_31, T_32, T_33
0.7896,0.2515,-0.5597,-0.03612,-0.2985,-0.6394,-0.7085,-0.1599,-0.5361,0.7265,-0.4298,2.374,0,0,0,1
0.703,0.4369,-0.5612,-0.07031,-0.3434,-0.4825,-0.8058,-0.2104,-0.6228,0.7592,-0.1892,2.116,0,0,0,1
0.7326,0.4071,-0.5454,-0.1032,-0.3363,-0.4802,-0.8101,-0.229,-0.5917,0.777,-0.2149,2.001,0,0,0,1
0.7472,0.4065,-0.5257,-0.1045,-0.3143,-0.4809,-0.8185,-0.2329,-0.5856,0.7768,-0.2316,1.937,0,0,0,1
0.7324,0.4284,-0.5293,-0.1076,-0.3193,-0.4705,-0.8226,-0.2438,-0.6014,0.7714,-0.2078,1.875,0,0,0,1
0.7388,0.432,-0.5172,-0.1122,-0.3154,-0.4566,-0.8319,-0.256,-0.5955,0.7778,-0.2011,1.815,0,0,0,1
0.7555,0.4264,-0.4974,-0.1134,-0.299,-0.4512,-0.8409,-0.2595,-0.583,0.7839,-0.2134,1.756,0,0,0,1
0.7748,0.4168,-0.4754,-0.1141,-0.2811,-0.4464,-0.8495,-0.2633,-0.5663,0.7918,-0.2286,1.699,0,0,0,1
0.7899,0.4086,-0.4572,-0.1142,-0.2631,-0.4475,-0.8547,-0.2666,-0.5539,0.7954,-0.246,1.644,0,0,0,1
0.8096,0.3932,-0.4358,-0.116,-0.2504,-0.4402,-0.8623,-0.2692,-0.5308,0.8073,-0.258,1.591,0,0,0,1
0.8139,0.3973,-0.424,-0.117,-0.238,-0.4378,-0.867,-0.2746,-0.5301,0.8065,-0.2618,1.533,0,0,0,1
0.8201,0.405,-0.4043,-0.1185,-0.2196,-0.4297,-0.8759,-0.2783,-0.5285,0.807,-0.2635,1.466,0,0,0,1
0.8626,0.3497,-0.3655,-0.1264,-0.1598,-0.4972,-0.8528,-0.2863,-0.4799,0.7941,-0.373,1.413,0,0,0,1
0.8831,0.336,-0.3273,-0.1264,-0.1273,-0.4999,-0.8567,-0.2918,-0.4515,0.7983,-0.3987,1.368,0,0,0,1
0.9093,0.2989,-0.2894,-0.1312,-0.1087,-0.5008,-0.8587,-0.2913,-0.4016,0.8123,-0.423,1.324,0,0,0,1
0.9322,0.2591,-0.2527,-0.1415,-0.09698,-0.494,-0.864,-0.2905,-0.3487,0.83,-0.4354,1.264,0,0,0,1
0.9439,0.215,-0.2507,-0.1487,-0.1131,-0.5027,-0.857,-0.2788,-0.3103,0.8373,-0.4502,1.235,0,0,0,1
0.9649,0.173,-0.1974,-0.1479,-0.08373,-0.51,-0.8561,-0.2808,-0.2488,0.8426,-0.4776,1.194,0,0,0,1
0.9716,0.1821,-0.1511,-0.1421,-0.03592,-0.5175,-0.8549,-0.2977,-0.2339,0.8361,-0.4962,1.144,0,0,0,1
0.9789,0.1579,-0.1295,-0.1469,-0.02361,-0.5424,-0.8398,-0.293,-0.2028,0.8252,-0.5272,1.103,0,0,0,1
0.986,0.1379,-0.09427,-0.1508,-0.002503,-0.5521,-0.8337,-0.2943,-0.167,0.8223,-0.544,1.057,0,0,0,1
0.9772,0.1883,-0.09763,-0.1469,0.02334,-0.5529,-0.8329,-0.3025,-0.2108,0.8117,-0.5447,1.026,0,0,0,1
0.9728,0.2114,-0.09435,-0.1379,0.04125,-0.5593,-0.8279,-0.3098,-0.2278,0.8015,-0.5529,1.036,0,0,0,1
0.4576,0.4231,-0.782,-0.2487,-0.8407,-0.08025,-0.5354,0.1793,-0.2893,0.9025,0.319,1.442,0,0,0,1
0.575,0.4349,-0.693,-0.1627,-0.4856,-0.5003,-0.7169,-0.0849,-0.6585,0.7487,-0.07649,1.385,0,0,0,1
0.6468,0.4193,-0.637,-0.164,-0.3844,-0.5422,-0.7472,-0.1502,-0.6587,0.7281,-0.1895,1.359,0,0,0,1
0.7065,0.4345,-0.5587,-0.126,-0.2152,-0.6202,-0.7544,-0.2214,-0.6742,0.6532,-0.3446,1.361,0,0,0,1
0.6927,0.08497,-0.7162,-0.4718,-0.6531,0.4952,-0.5729,0.1497,0.306,0.8646,0.3985,1.645,0,0,0,1
0.6964,0.02624,-0.7172,-0.5129,-0.6223,0.5198,-0.5852,0.1749,0.3575,0.8539,0.3783,1.333,0,0,0,1
0.6368,-0.07528,-0.7673,-0.5075,-0.6603,0.4607,-0.5931,0.3545,0.3982,0.8844,0.2437,2.128,0,0,0,1
0.8069,-0.2283,-0.5449,-0.4904,-0.5791,-0.1237,-0.8058,0.07337,0.1165,0.9657,-0.232,1.937,0,0,0,1
0.5487,0.3896,0.7397,0.4874,0.4582,-0.8802,0.1237,0.3061,0.6993,0.271,-0.6615,1.557,0,0,0,1
0.7215,0.1187,0.6821,0.09923,-0.1101,-0.953,0.2823,0.2968,0.6836,-0.2788,-0.6745,0.8164,0,0,0,1
0.8244,-0.01284,0.5658,0.09439,-0.2931,-0.8649,0.4075,0.2877,0.4841,-0.5018,-0.7168,0.8513,0,0,0,1
0.8057,-0.07248,0.5878,0.1049,-0.3573,-0.851,0.3848,0.2879,0.4724,-0.5201,-0.7116,0.8931,0,0,0,1
0.7278,0.1581,0.6673,0.0566,-0.3055,-0.7964,0.522,0.3449,0.6139,-0.5838,-0.5313,0.7205,0,0,0,1
0.7381,0.2107,0.641,0.05061,-0.2493,-0.7976,0.5493,0.3435,0.627,-0.5652,-0.5361,0.7248,0,0,0,1
0.7136,0.0813,0.6958,0.1054,-0.2577,-0.8932,0.3686,0.3338,0.6515,-0.4423,-0.6164,1.161,0,0,0,1
0.6948,-0.1148,0.7099,0.09202,-0.4806,-0.8085,0.3396,0.2682,0.535,-0.5772,-0.617,1.235,0,0,0,1
0.5699,0.06438,0.8192,0.02471,-0.2315,-0.944,0.2352,0.4605,0.7885,-0.3237,-0.523,1.32,0,0,0,1
0.6843,0.08041,0.7248,0.2358,-0.2476,-0.9092,0.3346,0.3085,0.6859,-0.4084,-0.6022,1.779,0,0,0,1
0.6595,0.04384,0.7504,0.2131,-0.2889,-0.9068,0.3069,0.2925,0.6939,-0.4192,-0.5854,1.784,0,0,0,1
0.6729,0.1054,0.7322,0.4307,-0.1578,-0.9466,0.2813,0.3108,0.7227,-0.3048,-0.6203,2.421,0,0,0,1
0.5347,0.1513,0.8314,0.3196,-0.1822,-0.9401,0.2882,0.2656,0.8252,-0.3056,-0.4751,2.634,0,0,0,1
0.5449,0.0902,0.8337,0.3112,-0.2446,-0.9339,0.2609,0.237,0.8021,-0.3461,-0.4868,2.614,0,0,0,1
0.5763,0.04476,0.816,0.324,-0.2876,-0.9235,0.2537,0.2033,0.765,-0.3809,-0.5194,2.61,0,0,0,1
0.6009,0.02662,0.7989,0.3387,-0.2965,-0.9207,0.2536,0.183,0.7423,-0.3892,-0.5454,2.633,0,0,0,1
0.6206,0.02596,0.7837,0.3508,-0.29,-0.921,0.2602,0.1605,0.7285,-0.3888,-0.564,2.669,0,0,0,1
0.6108,0.007017,0.7917,0.3479,-0.3087,-0.9187,0.2463,0.1489,0.7291,-0.3948,-0.559,2.708,0,0,0,1
0.6179,-0.001977,0.7863,0.3594,-0.3065,-0.9215,0.2386,0.1352,0.724,-0.3884,-0.57,2.768,0,0,0,1
